Data,Vendas
2020-01-01,251
2020-01-02,856
2020-01-03,230
2020-01-04,477
2020-01-05,354
2020-01-06,890
2020-01-07,819
2020-01-08,104
2020-01-09,123
2020-01-10,345
2020-01-11,464
2020-01-12,814
2020-01-13,609
2020-01-14,123
2020-01-15,554
2020-01-16,153
2020-01-17,859
2020-01-18,809
2020-01-19,345
2020-01-20,547
2020-01-21,569
2020-01-22,209
2020-01-23,355
2020-01-24,309
2020-01-25,160
2020-01-26,909
2020-01-27,266
2020-01-28,714
2020-01-29,613
2020-01-30,937
2020-01-31,395
2020-02-01,107
2020-02-02,911
2020-02-03,965
2020-02-04,964
2020-02-05,750
2020-02-06,515
2020-02-07,246
2020-02-08,740
2020-02-09,846
2020-02-10,673
2020-02-11,421
2020-02-12,765
2020-02-13,754
2020-02-14,362
2020-02-15,846
2020-02-16,931
2020-02-17,201
2020-02-18,160
2020-02-19,183
2020-02-20,439
2020-02-21,790
2020-02-22,362
2020-02-23,502
2020-02-24,437
2020-02-25,121
2020-02-26,550
2020-02-27,658
2020-02-28,219
2020-02-29,172
2020-03-01,125
2020-03-02,493
2020-03-03,407
2020-03-04,224
2020-03-05,160
2020-03-06,473
2020-03-07,360
2020-03-08,822
2020-03-09,423
2020-03-10,857
2020-03-11,896
2020-03-12,343
2020-03-13,631
2020-03-14,875
2020-03-15,593
2020-03-16,820
2020-03-17,223
2020-03-18,522
2020-03-19,106
2020-03-20,793
2020-03-21,515
2020-03-22,650
2020-03-23,555
2020-03-24,740
2020-03-25,664
2020-03-26,677
2020-03-27,234
2020-03-28,505
2020-03-29,903
2020-03-30,328
2020-03-31,776
2020-04-01,578
2020-04-02,930
2020-04-03,750
2020-04-04,263
2020-04-05,663
2020-04-06,583
2020-04-07,374
2020-04-08,677
2020-04-09,308
2020-04-10,441
2020-04-11,201
2020-04-12,287
2020-04-13,357
2020-04-14,634
2020-04-15,329
2020-04-16,579
2020-04-17,330
2020-04-18,721
2020-04-19,773
2020-04-20,903
2020-04-21,579
2020-04-22,291
2020-04-23,583
2020-04-24,276
2020-04-25,766
2020-04-26,845
2020-04-27,999
2020-04-28,869
2020-04-29,246
2020-04-30,460
2020-05-01,143
2020-05-02,341
2020-05-03,196
2020-05-04,790
2020-05-05,510
2020-05-06,857
2020-05-07,603
2020-05-08,776
2020-05-09,817
2020-05-10,384
2020-05-11,579
2020-05-12,794
2020-05-13,828
2020-05-14,308
2020-05-15,724
2020-05-16,182
2020-05-17,540
2020-05-18,990
2020-05-19,194
2020-05-20,235
2020-05-21,594
2020-05-22,417
2020-05-23,853
2020-05-24,298
2020-05-25,640
2020-05-26,678
2020-05-27,813
2020-05-28,277
2020-05-29,510
2020-05-30,427
2020-05-31,302
2020-06-01,821
2020-06-02,929
2020-06-03,778
2020-06-04,811
2020-06-05,775
2020-06-06,889
2020-06-07,295
2020-06-08,997
2020-06-09,105
2020-06-10,588
2020-06-11,843
2020-06-12,719
2020-06-13,968
2020-06-14,676
2020-06-15,552
2020-06-16,401
2020-06-17,520
2020-06-18,596
2020-06-19,948
2020-06-20,994
2020-06-21,156
2020-06-22,164
2020-06-23,789
2020-06-24,333
2020-06-25,174
2020-06-26,928
2020-06-27,424
2020-06-28,127
2020-06-29,319
2020-06-30,281
2020-07-01,314
2020-07-02,864
2020-07-03,793
2020-07-04,366
2020-07-05,971
2020-07-06,901
2020-07-07,157
2020-07-08,471
2020-07-09,842
2020-07-10,523
2020-07-11,834
2020-07-12,425
2020-07-13,827
2020-07-14,884
2020-07-15,328
2020-07-16,736
2020-07-17,768
2020-07-18,506
2020-07-19,753
2020-07-20,476
2020-07-21,680
2020-07-22,197
2020-07-23,910
2020-07-24,681
2020-07-25,844
2020-07-26,963
2020-07-27,438
2020-07-28,933
2020-07-29,877
2020-07-30,858
2020-07-31,346
2020-08-01,560
2020-08-02,931
2020-08-03,846
2020-08-04,717
2020-08-05,769
2020-08-06,820
2020-08-07,147
2020-08-08,986
2020-08-09,343
2020-08-10,361
2020-08-11,595
2020-08-12,690
2020-08-13,832
2020-08-14,543
2020-08-15,850
2020-08-16,895
2020-08-17,133
2020-08-18,498
2020-08-19,963
2020-08-20,539
2020-08-21,727
2020-08-22,240
2020-08-23,712
2020-08-24,643
2020-08-25,878
2020-08-26,440
2020-08-27,490
2020-08-28,453
2020-08-29,299
2020-08-30,554
2020-08-31,697
2020-09-01,980
2020-09-02,395
2020-09-03,551
2020-09-04,902
2020-09-05,280
2020-09-06,812
2020-09-07,670
2020-09-08,245
2020-09-09,777
2020-09-10,891
2020-09-11,748
2020-09-12,578
2020-09-13,547
2020-09-14,196
2020-09-15,408
2020-09-16,860
2020-09-17,672
2020-09-18,847
2020-09-19,875
2020-09-20,280
2020-09-21,588
2020-09-22,889
2020-09-23,483
2020-09-24,603
2020-09-25,102
2020-09-26,524
2020-09-27,283
2020-09-28,608
2020-09-29,305
2020-09-30,769
2020-10-01,838
2020-10-02,747
2020-10-03,654
2020-10-04,416
2020-10-05,794
2020-10-06,415
2020-10-07,743
2020-10-08,696
2020-10-09,574
2020-10-10,351
2020-10-11,297
2020-10-12,112
2020-10-13,815
2020-10-14,229
2020-10-15,559
2020-10-16,217
2020-10-17,127
2020-10-18,377
2020-10-19,325
2020-10-20,938
2020-10-21,513
2020-10-22,782
2020-10-23,987
2020-10-24,935
2020-10-25,149
2020-10-26,729
2020-10-27,706
2020-10-28,621
2020-10-29,759
2020-10-30,556
2020-10-31,538
2020-11-01,668
2020-11-02,710
2020-11-03,608
2020-11-04,353
2020-11-05,182
2020-11-06,575
2020-11-07,484
2020-11-08,958
2020-11-09,731
2020-11-10,633
2020-11-11,365
2020-11-12,408
2020-11-13,628
2020-11-14,905
2020-11-15,464
2020-11-16,594
2020-11-17,437
2020-11-18,325
2020-11-19,357
2020-11-20,545
2020-11-21,913
2020-11-22,353
2020-11-23,249
2020-11-24,395
2020-11-25,102
2020-11-26,501
2020-11-27,350
2020-11-28,820
2020-11-29,954
2020-11-30,349
2020-12-01,769
2020-12-02,597
2020-12-03,506
2020-12-04,109
2020-12-05,129
2020-12-06,825
2020-12-07,935
2020-12-08,802
2020-12-09,455
2020-12-10,115
2020-12-11,295
2020-12-12,915
2020-12-13,482
2020-12-14,563
2020-12-15,175
2020-12-16,500
2020-12-17,918
2020-12-18,840
2020-12-19,603
2020-12-20,437
2020-12-21,904
2020-12-22,625
2020-12-23,983
2020-12-24,175
2020-12-25,442
2020-12-26,419
2020-12-27,345
2020-12-28,267
2020-12-29,787
2020-12-30,547
2020-12-31,888
2021-01-01,217
2021-01-02,764
2021-01-03,119
2021-01-04,135
2021-01-05,985
2021-01-06,232
2021-01-07,144
2021-01-08,356
2021-01-09,856
2021-01-10,684
2021-01-11,933
2021-01-12,772
2021-01-13,117
2021-01-14,825
2021-01-15,923
2021-01-16,402
2021-01-17,531
2021-01-18,626
2021-01-19,613
2021-01-20,552
2021-01-21,725
2021-01-22,294
2021-01-23,896
2021-01-24,829
2021-01-25,929
2021-01-26,912
2021-01-27,671
2021-01-28,272
2021-01-29,820
2021-01-30,325
2021-01-31,319
2021-02-01,219
2021-02-02,703
2021-02-03,719
2021-02-04,925
2021-02-05,216
2021-02-06,848
2021-02-07,106
2021-02-08,313
2021-02-09,413
2021-02-10,526
2021-02-11,785
2021-02-12,652
2021-02-13,208
2021-02-14,187
2021-02-15,911
2021-02-16,385
2021-02-17,480
2021-02-18,954
2021-02-19,438
2021-02-20,515
2021-02-21,280
2021-02-22,476
2021-02-23,736
2021-02-24,630
2021-02-25,602
2021-02-26,493
2021-02-27,159
2021-02-28,344
2021-03-01,377
2021-03-02,993
2021-03-03,433
2021-03-04,514
2021-03-05,350
2021-03-06,401
2021-03-07,319
2021-03-08,593
2021-03-09,596
2021-03-10,168
2021-03-11,316
2021-03-12,175
2021-03-13,907
2021-03-14,936
2021-03-15,915
2021-03-16,903
2021-03-17,489
2021-03-18,430
2021-03-19,437
2021-03-20,930
2021-03-21,586
2021-03-22,147
2021-03-23,569
2021-03-24,299
2021-03-25,246
2021-03-26,161
2021-03-27,264
2021-03-28,370
2021-03-29,368
2021-03-30,772
2021-03-31,693
2021-04-01,178
2021-04-02,543
2021-04-03,966
2021-04-04,351
2021-04-05,403
2021-04-06,482
2021-04-07,992
2021-04-08,308
2021-04-09,769
2021-04-10,684
2021-04-11,927
2021-04-12,743
2021-04-13,754
2021-04-14,553
2021-04-15,242
2021-04-16,209
2021-04-17,172
2021-04-18,710
2021-04-19,696
2021-04-20,319
2021-04-21,425
2021-04-22,276
2021-04-23,608
2021-04-24,553
2021-04-25,730
2021-04-26,126
2021-04-27,747
2021-04-28,965
2021-04-29,315
2021-04-30,669
2021-05-01,910
2021-05-02,535
2021-05-03,949
2021-05-04,492
2021-05-05,699
2021-05-06,303
2021-05-07,112
2021-05-08,177
2021-05-09,630
2021-05-10,768
2021-05-11,583
2021-05-12,903
2021-05-13,939
2021-05-14,534
2021-05-15,956
2021-05-16,599
2021-05-17,241
2021-05-18,262
2021-05-19,322
2021-05-20,166
2021-05-21,332
2021-05-22,917
2021-05-23,100
2021-05-24,122
2021-05-25,214
2021-05-26,390
2021-05-27,697
2021-05-28,394
2021-05-29,173
2021-05-30,952
2021-05-31,671
2021-06-01,775
2021-06-02,689
2021-06-03,626
2021-06-04,749
2021-06-05,998
2021-06-06,597
2021-06-07,105
2021-06-08,843
2021-06-09,360
2021-06-10,508
2021-06-11,374
2021-06-12,577
2021-06-13,215
2021-06-14,106
2021-06-15,486
2021-06-16,442
2021-06-17,336
2021-06-18,228
2021-06-19,173
2021-06-20,948
2021-06-21,947
2021-06-22,285
2021-06-23,271
2021-06-24,940
2021-06-25,321
2021-06-26,789
2021-06-27,780
2021-06-28,189
2021-06-29,514
2021-06-30,124
2021-07-01,642
2021-07-02,373
2021-07-03,974
2021-07-04,549
2021-07-05,379
2021-07-06,222
2021-07-07,532
2021-07-08,869
2021-07-09,141
2021-07-10,592
2021-07-11,517
2021-07-12,986
2021-07-13,750
2021-07-14,966
2021-07-15,475
2021-07-16,438
2021-07-17,694
2021-07-18,394
2021-07-19,515
2021-07-20,819
2021-07-21,117
2021-07-22,491
2021-07-23,707
2021-07-24,122
2021-07-25,379
2021-07-26,973
2021-07-27,565
2021-07-28,577
2021-07-29,395
2021-07-30,168
2021-07-31,894
2021-08-01,905
2021-08-02,462
2021-08-03,360
2021-08-04,141
2021-08-05,399
2021-08-06,959
2021-08-07,277
2021-08-08,603
2021-08-09,287
2021-08-10,542
2021-08-11,566
2021-08-12,815
2021-08-13,952
2021-08-14,749
2021-08-15,880
2021-08-16,122
2021-08-17,187
2021-08-18,283
2021-08-19,988
2021-08-20,726
2021-08-21,960
2021-08-22,427
2021-08-23,240
2021-08-24,228
2021-08-25,829
2021-08-26,710
2021-08-27,639
2021-08-28,321
2021-08-29,945
2021-08-30,493
2021-08-31,291
2021-09-01,894
2021-09-02,162
2021-09-03,990
2021-09-04,319
2021-09-05,741
2021-09-06,487
2021-09-07,144
2021-09-08,965
2021-09-09,733
2021-09-10,376
2021-09-11,361
2021-09-12,142
2021-09-13,423
2021-09-14,789
2021-09-15,718
2021-09-16,296
2021-09-17,252
2021-09-18,349
2021-09-19,430
2021-09-20,740
2021-09-21,446
2021-09-22,119
2021-09-23,351
2021-09-24,394
2021-09-25,660
2021-09-26,973
2021-09-27,850
2021-09-28,817
2021-09-29,657
2021-09-30,765
2021-10-01,961
2021-10-02,410
2021-10-03,182
2021-10-04,426
2021-10-05,940
2021-10-06,874
2021-10-07,466
2021-10-08,616
2021-10-09,302
2021-10-10,341
2021-10-11,389
2021-10-12,705
2021-10-13,578
2021-10-14,598
2021-10-15,390
2021-10-16,281
2021-10-17,572
2021-10-18,757
2021-10-19,831
2021-10-20,681
2021-10-21,301
2021-10-22,970
2021-10-23,843
2021-10-24,698
2021-10-25,492
2021-10-26,166
2021-10-27,364
2021-10-28,912
2021-10-29,548
2021-10-30,561
2021-10-31,633
2021-11-01,785
2021-11-02,434
2021-11-03,334
2021-11-04,828
2021-11-05,772
2021-11-06,278
2021-11-07,126
2021-11-08,751
2021-11-09,787
2021-11-10,420
2021-11-11,149
2021-11-12,523
2021-11-13,625
2021-11-14,877
2021-11-15,127
2021-11-16,412
2021-11-17,668
2021-11-18,992
2021-11-19,526
2021-11-20,224
2021-11-21,661
2021-11-22,736
2021-11-23,761
2021-11-24,153
2021-11-25,264
2021-11-26,266
2021-11-27,906
2021-11-28,399
2021-11-29,516
2021-11-30,805
2021-12-01,516
2021-12-02,121
2021-12-03,318
2021-12-04,625
2021-12-05,221
2021-12-06,196
2021-12-07,269
2021-12-08,464
2021-12-09,774
2021-12-10,225
2021-12-11,780
2021-12-12,509
2021-12-13,822
2021-12-14,911
2021-12-15,857
2021-12-16,747
2021-12-17,737
2021-12-18,552
2021-12-19,537
2021-12-20,210
2021-12-21,520
2021-12-22,521
2021-12-23,282
2021-12-24,471
2021-12-25,279
2021-12-26,984
2021-12-27,593
2021-12-28,672
2021-12-29,219
2021-12-30,121
2021-12-31,789
