Data;Pedido;Cliente;Tipo Cliente;SKU;Código Produto;Centro Custo;Produto;Fabricante;Qtde. Pedido;Preço;Custo
01/01/2015;SO - 000101;New Ltd;Distributor;NXH382;STK-112;927300;Chipset Computers;ARM Company;7;691,76;1475,76
01/01/2015;SO - 000102;Winthrop ;Wholesale;GUT930;STK-121;926263;Flooring Wide;Mylan Group;7;372,47;1259,04
02/01/2015;SO - 000103;Apollo Ltd;Export;GUT930;STK-112;927300;Chipset Computers;ARM Company;12;691,76;2951,52
03/01/2015;SO - 000104;Eminence Corp;Export;AXW291;STK-150;420746;Heavy Timbers;Cixi Group;8;233,43;873,07
03/01/2015;SO - 000105;E. Ltd;Wholesale;AXW291;STK-158;417850;Parallel Strand;McKesson Corp;8;153,83;557,28
04/01/2015;SO - 000106;Weimei Corp;Wholesale;NXH382;STK-145;420746;Building Safety;Apotex Corp;8;327,90;1250,78
05/01/2015;SO - 000107;Victory Ltd;Distributor;AXW291;STK-133;922457;Noxer Block;Apotex Corp;12;291,93;1919,52
05/01/2015;SO - 000108;O.E. Ltd;Distributor;NXH382;STK-110;920026;Folding Doors;Lake Ltd;12;578,87;2621,28
05/01/2015;SO - 000109;O.E. Ltd;Wholesale;NXH382;STK-160;417850;Finish Carpentry;Major Corp;9;258,69;924,67
05/01/2015;SO - 000110;U.S. Ltd;Wholesale;NXH382;STK-165;415254;Trim, Molding;Allermed Group;8;156,52;563,47
05/01/2015;SO - 000111;Weimei Corp;Export;AXW291;STK-142;420746;Decorative Metal;Lake Ltd;14;95,40;718,27
05/01/2015;SO - 000112;Weimei Corp;Distributor;AXW291;STK-166;415254;Chair Rail;Cixi Group;10;485,81;2220,86
05/01/2015;SO - 000113;Apotheca, Ltd;Export;NXH382;STK-106;920026;Damp (Structural);Mylan Group;9;222,04;975,24
06/01/2015;SO - 000114;S.S.S. Group;Export;NXH382;STK-145;420746;Building Safety;Apotex Corp;11;327,90;1876,18
07/01/2015;SO - 000115;Mylan Corp;Distributor;AXW291;STK-154;417850;Treated Lumber;ALK-Abello, Corp;7;371,04;1006,20
07/01/2015;SO - 000116;Niconovum Corp;Wholesale;FLR025;STK-157;417850;Oriented Strand Board;ALK-Abello, Corp;12;477,32;3075,36
07/01/2015;SO - 000117;ETUDE Ltd;Wholesale;NXH382;STK-136;922457;Structural Steel;Cixi Group;14;309,58;1907,14
07/01/2015;SO - 000118;Procter Corp;Export;AXW291;STK-125;926263;Staff;Lake Ltd;14;180,28;1065,02
08/01/2015;SO - 000119;Bare ;Distributor;FLR025;STK-152;417850;Engineered Wood;Allermed Group;7;386,52;1315,80
08/01/2015;SO - 000120;Pacific Ltd;Wholesale;AXW291;STK-156;417850;Plywood;Allermed Group;10;191,89;701,76
08/01/2015;SO - 000121;Rochester Ltd;Export;GUT930;STK-109;920026;Access;Major Corp;10;465,07;1841,09
08/01/2015;SO - 000122;Victory Ltd;Export;NXH382;STK-107;920026;Housewrap;Kinray Ltd;14;281,93;2303,42
08/01/2015;SO - 000123;Select ;Distributor;AXW291;STK-102;920026;Escalator;Kinray Ltd;8;380,89;1275,55
08/01/2015;SO - 000124;Nipro ;Wholesale;GUT930;STK-149;420746;Rough Carpentry;Lake Ltd;14;121,00;829,73
09/01/2015;SO - 000125;New Ltd;Wholesale;GUT930;STK-137;922457;Rebar;McKesson Corp;14;331,08;2191,97
09/01/2015;SO - 000126;Rochester Ltd;Wholesale;AXW291;STK-158;417850;Parallel Strand;McKesson Corp;13;153,83;1021,68
10/01/2015;SO - 000127;Mylan Corp;Distributor;GUT930;STK-120;927300;Dropped Ceiling;Fullerton Corp;8;477,77;1678,03
10/01/2015;SO - 000128;Mylan Corp;Wholesale;GUT930;STK-153;417850;Stud, Joist, Rafter;Lake Ltd;13;486,42;2542,85
11/01/2015;SO - 000129;Medline ;Distributor;AXW291;STK-107;920026;Housewrap;Kinray Ltd;12;281,93;1919,52
11/01/2015;SO - 000130;Bare ;Wholesale;AXW291;STK-115;927300;Electrical Wiring;Apotex Corp;8;398,42;1077,41
11/01/2015;SO - 000131;Prasco Group;Distributor;NXH382;STK-110;920026;Folding Doors;Lake Ltd;9;578,87;1834,90
11/01/2015;SO - 000132;Exact-Rx, Corp;Distributor;NXH382;STK-134;922457;Stone Dry Stacked;ALK-Abello, Corp;8;520,62;1795,68
11/01/2015;SO - 000133;Rochester Ltd;Export;GUT930;STK-122;926263;Marble;Fullerton Corp;14;316,48;2278,66
12/01/2015;SO - 000134;Ohio ;Distributor;FLR025;STK-142;420746;Decorative Metal;Lake Ltd;10;95,40;478,85
13/01/2015;SO - 000135;Trigen ;Wholesale;FLR025;STK-102;920026;Escalator;Kinray Ltd;7;380,89;1062,96
13/01/2015;SO - 000136;Burt's Corp;Wholesale;AXW291;STK-159;417850;Glue-Laminate;Sun Ltd;12;648,44;2992,80
14/01/2015;SO - 000137;Rochester Ltd;Wholesale;GUT930;STK-124;926263;Paint, Wood Stain;ALK-Abello, Corp;9;150,36;512,90
14/01/2015;SO - 000138;Medline ;Wholesale;FLR025;STK-126;926263;Stucco;Heritage ;11;438,19;2126,95
14/01/2015;SO - 000139;WakeFern ;Wholesale;AXW291;STK-132;922457;High Concrete;CP IV Ltd;8;334,39;934,99
14/01/2015;SO - 000140;AuroMedics Corp;Wholesale;GUT930;STK-146;420746;Security Systems;Macoven Group;11;477,13;2712,10
14/01/2015;SO - 000141;AuroMedics Corp;Wholesale;AXW291;STK-158;417850;Parallel Strand;McKesson Corp;11;153,83;835,92
15/01/2015;SO - 000142;Elorac, Corp;Distributor;FLR025;STK-125;926263;Staff;Lake Ltd;9;180,28;621,26
16/01/2015;SO - 000143;Wuxi Group;Distributor;GUT930;STK-130;926263;Insulation Bricks;HSN Bricks;11;455,48;2071,22
16/01/2015;SO - 000144;Weimei Corp;Wholesale;AXW291;STK-115;927300;Electrical Wiring;Apotex Corp;9;398,42;1256,98
16/01/2015;SO - 000145;Victory Ltd;Export;GUT930;STK-101;920026;Elevator;McKesson Corp;11;448,76;2349,86
16/01/2015;SO - 000146;Dharma Ltd;Distributor;AXW291;STK-146;420746;Security Systems;Macoven Group;9;477,13;2109,41
17/01/2015;SO - 000147;Sundial ;Distributor;AXW291;STK-114;927300;Electrical Connector;Sun Ltd;12;313,29;1558,32
17/01/2015;SO - 000148;E. Ltd;Wholesale;NXH382;STK-108;920026;Stile And Rail;Macoven Group;12;589,23;2930,88
17/01/2015;SO - 000149;Fenwal, Corp;Export;AXW291;STK-102;920026;Escalator;Kinray Ltd;8;380,89;1275,55
18/01/2015;SO - 000150;Winthrop ;Wholesale;AXW291;STK-149;420746;Rough Carpentry;Lake Ltd;7;121,00;345,72
18/01/2015;SO - 000151;Nipro ;Export;AXW291;STK-108;920026;Stile And Rail;Macoven Group;8;589,23;1758,53
18/01/2015;SO - 000152;Capweld ;Distributor;AXW291;STK-137;922457;Rebar;McKesson Corp;14;331,08;2191,97
19/01/2015;SO - 000153;21st Ltd;Wholesale;AXW291;STK-135;922457;Urbanite;Macoven Group;13;335,13;2440,68
19/01/2015;SO - 000154;Elorac, Corp;Export;FLR025;STK-127;926263;Wood Finishing;Fullerton Corp;9;222,58;729,62
19/01/2015;SO - 000155;Sundial ;Wholesale;FLR025;STK-166;415254;Chair Rail;Cixi Group;12;485,81;2776,08
20/01/2015;SO - 000156;Mylan Corp;Wholesale;AXW291;STK-134;922457;Stone Dry Stacked;ALK-Abello, Corp;9;520,62;2094,96
20/01/2015;SO - 000157;Burt's Corp;Wholesale;AXW291;STK-126;926263;Stucco;Heritage ;7;438,19;1181,64
20/01/2015;SO - 000158;21st Ltd;Distributor;AXW291;STK-151;417850;Bamboo;Lake Ltd;9;367,33;1228,08
20/01/2015;SO - 000159;Avon Corp;Wholesale;AXW291;STK-121;926263;Flooring Wide;Mylan Group;14;372,47;3021,70
20/01/2015;SO - 000160;U.S. Ltd;Wholesale;GUT930;STK-140;922457;Metal Fabrications;Kinray Ltd;13;303,67;1498,46
21/01/2015;SO - 000161;AuroMedics Corp;Distributor;AXW291;STK-168;415254;Curtainwall;Accord Ltd;10;575,15;1989,70
22/01/2015;SO - 000162;Winthrop ;Distributor;AXW291;STK-138;922457;Wire Rope And Cables;Macoven Group;8;276,58;829,73
22/01/2015;SO - 000163;Llorens Ltd;Wholesale;NXH382;STK-118;927300;Cement Render;Lake Ltd;10;157,93;685,25
22/01/2015;SO - 000164;Select ;Wholesale;AXW291;STK-156;417850;Plywood;Allermed Group;14;191,89;1052,64
23/01/2015;SO - 000165;Pacific Ltd;Distributor;GUT930;STK-125;926263;Staff;Lake Ltd;7;180,28;443,76
23/01/2015;SO - 000166;OHTA'S Corp;Wholesale;AXW291;STK-135;922457;Urbanite;Macoven Group;12;335,13;2218,80
23/01/2015;SO - 000167;Procter Corp;Wholesale;AXW291;STK-127;926263;Wood Finishing;Fullerton Corp;8;222,58;625,39
24/01/2015;SO - 000168;Ohio ;Wholesale;GUT930;STK-151;417850;Bamboo;Lake Ltd;13;367,33;1929,84
24/01/2015;SO - 000169;Medsep Group;Distributor;AXW291;STK-160;417850;Finish Carpentry;Major Corp;7;258,69;660,48
24/01/2015;SO - 000170;Niconovum Corp;Distributor;AXW291;STK-124;926263;Paint, Wood Stain;ALK-Abello, Corp;10;150,36;586,18
24/01/2015;SO - 000171;Fenwal, Corp;Wholesale;FLR025;STK-166;415254;Chair Rail;Cixi Group;11;485,81;2498,47
24/01/2015;SO - 000172;Llorens Ltd;Wholesale;AXW291;STK-162;415254;Case-Building;Cixi Group;8;201,22;606,82
25/01/2015;SO - 000173;S.S.S. Group;Distributor;NXH382;STK-168;415254;Curtainwall;Accord Ltd;8;575,15;1492,27
26/01/2015;SO - 000174;PEDIFIX, Corp;Distributor;AXW291;STK-134;922457;Stone Dry Stacked;ALK-Abello, Corp;12;520,62;2992,80
27/01/2015;SO - 000175;Medsep Group;Wholesale;AXW291;STK-126;926263;Stucco;Heritage ;13;438,19;2599,61
27/01/2015;SO - 000176;Linde ;Wholesale;FLR025;STK-129;926263;Furnishings;Macoven Group;10;305,93;1576,90
28/01/2015;SO - 000177;U.S. Ltd;Wholesale;GUT930;STK-126;926263;Stucco;Heritage ;9;438,19;1654,30
28/01/2015;SO - 000178;Burt's Corp;Wholesale;GUT930;STK-148;420746;Telecommunications Equipment;Major Corp;8;213,62;668,74
28/01/2015;SO - 000179;Ohio ;Distributor;AXW291;STK-159;417850;Glue-Laminate;Sun Ltd;10;648,44;2394,24
28/01/2015;SO - 000180;Bare ;Export;AXW291;STK-163;415254;Millwork;Heritage ;7;256,97;856,56
29/01/2015;SO - 000181;ETUDE Ltd;Distributor;GUT930;STK-118;927300;Cement Render;Lake Ltd;8;157,93;513,94
29/01/2015;SO - 000182;WakeFern ;Wholesale;GUT930;STK-110;920026;Folding Doors;Lake Ltd;7;578,87;1310,64
30/01/2015;SO - 000183;Pacific Ltd;Export;FLR025;STK-130;926263;Insulation Bricks;HSN Bricks;7;455,48;1150,68
30/01/2015;SO - 000184;Wuxi Group;Wholesale;NXH382;STK-144;420746;Plumbing Fixtures;ALK-Abello, Corp;12;137,51;804,96
30/01/2015;SO - 000185;21st Ltd;Export;AXW291;STK-166;415254;Chair Rail;Cixi Group;11;485,81;2498,47
30/01/2015;SO - 000186;Apotheca, Ltd;Wholesale;GUT930;STK-148;420746;Telecommunications Equipment;Major Corp;10;213,62;891,65
30/01/2015;SO - 000187;Avon Corp;Wholesale;FLR025;STK-109;920026;Access;Major Corp;7;465,07;1150,68
30/01/2015;SO - 000188;Linde ;Export;AXW291;STK-159;417850;Glue-Laminate;Sun Ltd;9;648,44;2094,96
31/01/2015;SO - 000189;Bare ;Export;GUT930;STK-150;420746;Heavy Timbers;Cixi Group;11;233,43;1309,61
31/01/2015;SO - 000190;OHTA'S Corp;Wholesale;GUT930;STK-125;926263;Staff;Lake Ltd;11;180,28;798,77
31/01/2015;SO - 000191;Weimei Corp;Distributor;GUT930;STK-126;926263;Stucco;Heritage ;12;438,19;2363,28
01/02/2015;SO - 000192;Elorac, Corp;Wholesale;AXW291;STK-134;922457;Stone Dry Stacked;ALK-Abello, Corp;10;520,62;2394,24
01/02/2015;SO - 000193;Capweld ;Wholesale;AXW291;STK-159;417850;Glue-Laminate;Sun Ltd;7;648,44;1496,40
01/02/2015;SO - 000194;Niconovum Corp;Wholesale;AXW291;STK-111;927300;Door Hardware;Apotex Corp;7;437,31;1166,16
01/02/2015;SO - 000195;S.S.S. Group;Wholesale;AXW291;STK-157;417850;Oriented Strand Board;ALK-Abello, Corp;10;477,32;2460,29
01/02/2015;SO - 000196;Bare ;Export;AXW291;STK-102;920026;Escalator;Kinray Ltd;11;380,89;1913,33
01/02/2015;SO - 000197;Procter Corp;Export;AXW291;STK-165;415254;Trim, Molding;Allermed Group;11;156,52;845,21
02/02/2015;SO - 000198;O.E. Ltd;Export;FLR025;STK-100;920026;Concrete;McKesson Corp;13;124,49;681,12
02/02/2015;SO - 000199;Avon Corp;Wholesale;AXW291;STK-110;920026;Folding Doors;Lake Ltd;13;578,87;2883,41
02/02/2015;SO - 000200;Bare ;Distributor;AXW291;STK-145;420746;Building Safety;Apotex Corp;13;327,90;2293,10
03/02/2015;SO - 000201;Pacific Ltd;Wholesale;AXW291;STK-138;922457;Wire Rope And Cables;Macoven Group;8;276,58;829,73
03/02/2015;SO - 000202;Victory Ltd;Wholesale;GUT930;STK-107;920026;Housewrap;Kinray Ltd;9;281,93;1343,66
