Data,Vendas
2020-01-01,558
2020-01-02,425
2020-01-03,950
2020-01-04,102
2020-01-05,308
2020-01-06,731
2020-01-07,775
2020-01-08,831
2020-01-09,248
2020-01-10,153
2020-01-11,431
2020-01-12,685
2020-01-13,836
2020-01-14,256
2020-01-15,209
2020-01-16,617
2020-01-17,873
2020-01-18,922
2020-01-19,553
2020-01-20,422
2020-01-21,263
2020-01-22,117
2020-01-23,703
2020-01-24,220
2020-01-25,121
2020-01-26,255
2020-01-27,434
2020-01-28,857
2020-01-29,134
2020-01-30,578
2020-01-31,443
2020-02-01,368
2020-02-02,667
2020-02-03,133
2020-02-04,388
2020-02-05,287
2020-02-06,785
2020-02-07,379
2020-02-08,927
2020-02-09,815
2020-02-10,437
2020-02-11,937
2020-02-12,400
2020-02-13,311
2020-02-14,950
2020-02-15,710
2020-02-16,722
2020-02-17,571
2020-02-18,455
2020-02-19,696
2020-02-20,722
2020-02-21,272
2020-02-22,359
2020-02-23,958
2020-02-24,113
2020-02-25,362
2020-02-26,158
2020-02-27,585
2020-02-28,857
2020-02-29,733
2020-03-01,426
2020-03-02,325
2020-03-03,368
2020-03-04,854
2020-03-05,401
2020-03-06,333
2020-03-07,348
2020-03-08,797
2020-03-09,304
2020-03-10,881
2020-03-11,818
2020-03-12,850
2020-03-13,781
2020-03-14,769
2020-03-15,937
2020-03-16,535
2020-03-17,816
2020-03-18,268
2020-03-19,440
2020-03-20,942
2020-03-21,905
2020-03-22,564
2020-03-23,419
2020-03-24,265
2020-03-25,616
2020-03-26,666
2020-03-27,591
2020-03-28,488
2020-03-29,931
2020-03-30,817
2020-03-31,471
2020-04-01,873
2020-04-02,821
2020-04-03,385
2020-04-04,970
2020-04-05,307
2020-04-06,733
2020-04-07,905
2020-04-08,444
2020-04-09,970
2020-04-10,846
2020-04-11,718
2020-04-12,429
2020-04-13,295
2020-04-14,861
2020-04-15,687
2020-04-16,427
2020-04-17,784
2020-04-18,534
2020-04-19,467
2020-04-20,858
2020-04-21,486
2020-04-22,608
2020-04-23,722
2020-04-24,909
2020-04-25,462
2020-04-26,789
2020-04-27,341
2020-04-28,301
2020-04-29,740
2020-04-30,767
2020-05-01,323
2020-05-02,470
2020-05-03,817
2020-05-04,648
2020-05-05,485
2020-05-06,907
2020-05-07,722
2020-05-08,745
2020-05-09,251
2020-05-10,701
2020-05-11,850
2020-05-12,736
2020-05-13,587
2020-05-14,644
2020-05-15,691
2020-05-16,863
2020-05-17,393
2020-05-18,851
2020-05-19,755
2020-05-20,793
2020-05-21,684
2020-05-22,519
2020-05-23,896
2020-05-24,546
2020-05-25,887
2020-05-26,426
2020-05-27,816
2020-05-28,660
2020-05-29,188
2020-05-30,976
2020-05-31,242
2020-06-01,589
2020-06-02,916
2020-06-03,984
2020-06-04,561
2020-06-05,303
2020-06-06,554
2020-06-07,274
2020-06-08,816
2020-06-09,442
2020-06-10,427
2020-06-11,122
2020-06-12,447
2020-06-13,345
2020-06-14,763
2020-06-15,993
2020-06-16,151
2020-06-17,451
2020-06-18,154
2020-06-19,249
2020-06-20,546
2020-06-21,178
2020-06-22,245
2020-06-23,563
2020-06-24,365
2020-06-25,365
2020-06-26,832
2020-06-27,894
2020-06-28,318
2020-06-29,780
2020-06-30,840
2020-07-01,253
2020-07-02,105
2020-07-03,181
2020-07-04,660
2020-07-05,963
2020-07-06,131
2020-07-07,997
2020-07-08,490
2020-07-09,354
2020-07-10,969
2020-07-11,980
2020-07-12,301
2020-07-13,834
2020-07-14,778
2020-07-15,354
2020-07-16,602
2020-07-17,159
2020-07-18,196
2020-07-19,973
2020-07-20,972
2020-07-21,481
2020-07-22,503
